category,0.8,1.0,1.5,2.0,3.0,5.0,8.0,10.0
Artifact,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.2
Blue-and-White Porcelain,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0
Cultural Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Paper-Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5
Window-Flower,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
